# element i xi w x mat
0 69 0.32918356098113821 0.00024778787020752395 0.9968876707358536 1
0 70 0.32952811806488425 0.00026748547125721286 0.99714608854866327 1
0 71 0.32989255369172338 0.00027751554265879246 0.99741941526879252 1
0 72 0.33026369630827668 0.00027751554265879246 0.99769777223120759 1
0 73 0.33062813193511575 0.00026748547125721286 0.99797109895133673 1
0 74 0.33097268901886179 0.00024778787020752395 0.9982295167641464 1
0 75 0.33128491453984893 0.00021913474924303275 0.99846368590488666 1
0 76 0.3315535242350684 0.00018256196961259863 0.9986651431763014 1
0 77 0.33176881094216376 0.00013939235109740184 0.99882660820662283 1
0 78 0.33192299809193987 9.1191685457003903e-05 0.99894224856895486 1
0 79 0.33201054870115559 3.9774110466436524e-05 0.99900791152586665 1
0 80 0.33204160064942223 1.9887055233218262e-05 0.99903120048706673 1
0 81 0.33208537595403004 4.5595842728501951e-05 0.99906403196552263 1
0 82 0.33216246952891815 6.969617554870092e-05 0.99912185214668869 1
0 83 0.33227011288246583 9.1280984806299314e-05 0.99920258466184941 1
0 84 0.33240441773007556 0.00010956737462151637 0.99930331329755662 1
0 85 0.33256053049056911 0.00012389393510376198 0.99942039786792691 1
0 86 0.33273280903244212 0.00013374273562860643 0.99954960677433169 1
0 87 0.33291502684586172 0.00013875777132939623 0.99968627013439637 1
0 88 0.33310059815413834 0.00013875777132939623 0.99982544861560374 1
0 89 0.33328281596755788 0.00013374273562860643 0.99996211197566831 1
0 90 0.33345509450943089 0.00012389393510376198 1.0000913208820732 1e-08
0 91 0.33361120726992444 0.00010956737462151637 1.0002084054524434 1e-08
0 92 0.33374551211753423 9.1280984806299314e-05 1.0003091340881505 1e-08
0 93 0.33385315547108185 6.969617554870092e-05 1.0003898666033113 1e-08
0 94 0.33393024904596996 4.5595842728501951e-05 1.0004476867844774 1e-08
0 95 0.33397402435057777 1.9887055233218262e-05 1.0004805182629333 1e-08
0 96 0.33399472564942223 1.9887055233218262e-05 1.0004960442370667 1e-08
0 97 0.33403850095403004 4.5595842728501951e-05 1.0005288757155226 1e-08
0 98 0.33411559452891815 6.969617554870092e-05 1.0005866958966887 1e-08
0 99 0.33422323788246583 9.1280984806299314e-05 1.0006674284118495 1e-08
0 100 0.33435754273007556 0.00010956737462151637 1.0007681570475566 1e-08
0 101 0.33451365549056911 0.00012389393510376198 1.0008852416179268 1e-08
0 102 0.33468593403244212 0.00013374273562860643 1.0010144505243317 1e-08
0 103 0.33486815184586172 0.00013875777132939623 1.0011511138843963 1e-08
0 104 0.33505372315413834 0.00013875777132939623 1.0012902923656037 1e-08
0 105 0.33523594096755788 0.00013374273562860643 1.0014269557256683 1e-08
0 106 0.33540821950943089 0.00012389393510376198 1.0015561646320732 1e-08
0 107 0.33556433226992449 0.00010956737462151637 1.0016732492024434 1e-08
0 108 0.33569863711753417 9.1280984806299314e-05 1.0017739778381505 1e-08
0 109 0.33580628047108185 6.969617554870092e-05 1.0018547103533113 1e-08
0 110 0.33588337404596996 4.5595842728501951e-05 1.0019125305344774 1e-08
0 111 0.33592714935057777 1.9887055233218262e-05 1.0019453620129333 1e-08
0 112 0.33597890259768887 7.9548220932873048e-05 1.0019841769482667 1e-08
0 113 0.33615400381612015 0.00018238337091400781 1.0021155028620901 1e-08
0 114 0.33646237811567253 0.00027878470219480368 1.0023467835867543 1e-08
0 115 0.33689295152986326 0.00036512393922519726 1.0026697136473974 1e-08
0 116 0.3374301709203022 0.0004382694984860655 1.0030726281902267 1e-08
0 117 0.33805462196227642 0.0004955757404150479 1.0035409664717072 1e-08
0 118 0.33874373612976855 0.00053497094251442573 1.0040578020973263 1e-08
0 119 0.33947260738344676 0.00055503108531758491 1.004604455537585 1e-08
0 120 0.3402148926165533 0.00055503108531758491 1.005161169462415 1e-08
0 121 0.34094376387023151 0.00053497094251442573 1.0057078229026737 1e-08
0 122 0.34163287803772358 0.0004955757404150479 1.0062246585282928 1e-08
0 123 0.34225732907969786 0.0004382694984860655 1.0066929968097733 1e-08
0 124 0.34279454847013674 0.00036512393922519726 1.0070959113526026 1e-08
0 125 0.34322512188432747 0.00027878470219480368 1.0074188414132457 1e-08
0 126 0.34353349618387979 0.00018238337091400781 1.0076501221379099 1e-08
0 127 0.34370859740231113 7.9548220932873048e-05 1.0077814480517333 1e-08
0 128 0.34391561039075547 0.00031819288373149219 1.0079367077930665 1e-08
0 129 0.34461601526448071 0.00072953348365603122 1.0084620114483605 1e-08
0 130 0.34584951246269013 0.0011151388087792147 1.0093871343470175 1e-08
0 131 0.3475718061194531 0.001460495756900789 1.0106788545895897 1e-08
0 132 0.34972068368120868 0.001753077993944262 1.0122905127609063 1e-08
0 133 0.35221848784910581 0.0019823029616601916 1.0141638658868293 1e-08
0 134 0.35497494451907408 0.0021398837700577029 1.0162312083893055 1e-08
0 135 0.35789042953378691 0.0022201243412703396 1.0184178221503402 1e-08
